symbol,date,price
AAPL,Feb 2005,28.66
AAPL,Mar 2005,33.95
AAPL,Apr 2005,31.01
AAPL,May 2005,21
AAPL,Jun 2005,26.19
AAPL,Jul 2005,25.41
AAPL,Aug 2005,30.47
AAPL,Sep 2005,12.88
AAPL,Oct 2005,9.78
AAPL,Nov 2005,8.25
AAPL,Dec 2005,7.44
AAPL,Jan 2006,10.81
AAPL,Feb 2006,9.12
AAPL,Mar 2006,11.03
AAPL,Apr 2006,12.74
AAPL,May 2006,9.98
AAPL,Jun 2006,11.62
AAPL,Jul 2006,9.4
AAPL,Aug 2006,9.27
AAPL,Sep 2006,7.76
AAPL,Oct 2006,8.78
AAPL,Nov 2006,10.65
AAPL,Dec 2006,10.95
AAPL,Jan 2007,12.36
AAPL,Feb 2007,10.85
AAPL,Mar 2007,11.84
AAPL,Apr 2007,12.14
AAPL,May 2007,11.65
AAPL,Jun 2007,8.86
AAPL,Jul 2007,7.63
AAPL,Aug 2007,7.38
AAPL,Sep 2007,7.25
AAPL,Oct 2007,8.03
AAPL,Nov 2007,7.75
AAPL,Dec 2007,7.16
AAPL,Jan 2008,7.18
AAPL,Feb 2008,7.51
AAPL,Mar 2008,7.07
AAPL,Apr 2008,7.11
AAPL,May 2008,8.98
AAPL,Jun 2008,9.53
AAPL,Jul 2008,10.54
AAPL,Aug 2008,11.31
AAPL,Sep 2008,10.36
AAPL,Oct 2008,11.44
AAPL,Nov 2008,10.45
AAPL,Dec 2008,10.69
AAPL,Jan 2009,11.28
AAPL,Feb 2009,11.96
AAPL,Mar 2009,13.52
AAPL,Apr 2009,12.89
AAPL,May 2009,14.03
AAPL,Jun 2009,16.27
AAPL,Jul 2009,16.17
AAPL,Aug 2009,17.25
AAPL,Sep 2009,19.38
AAPL,Oct 2009,26.2
AAPL,Nov 2009,33.53
AAPL,Dec 2009,32.2
AAPL,Jan 2010,38.45
AAPL,Feb 2010,44.86
AAPL,Mar 2010,41.67
AAPL,Apr 2010,36.06
AAPL,May 2010,39.76
AAPL,Jun 2010,36.81
AAPL,Jul 2010,42.65
AAPL,Aug 2010,46.89
AAPL,Sep 2010,53.61
AAPL,Oct 2010,57.59
AAPL,Nov 2010,67.82
AAPL,Dec 2010,71.89
AAPL,Jan 2011,75.51
AAPL,Feb 2011,68.49
AAPL,Mar 2011,62.72
AAPL,Apr 2011,70.39
AAPL,May 2011,59.77
AAPL,Jun 2011,57.27
AAPL,Jul 2011,67.96
AAPL,Aug 2011,67.85
AAPL,Sep 2011,76.98
AAPL,Oct 2011,81.08
AAPL,Nov 2011,91.66
